street_name_normalised,electoral_street_name_raw,electoral_rule_count,electoral_section_numbers,anncsu_street_name_normalised,anncsu_odonimo,anncsu_progressivo_nazionale,anncsu_total_accesses,crosswalk_status,match_method,confidence,notes
LOC S CATERINA,LOC. S. CATERINA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC S DOMENICA,LOC. S. DOMENICA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC S EUFEMIA VETERE,LOC. S. EUFEMIA VETERE,1,57,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC S MARTINO,LOC. S. MARTINO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC S NICOLA,LOC. S. NICOLA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC SAVUTANO,LOC. SAVUTANO,1,76,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC SCAFFO,LOC. SCAFFO,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC SCALA,LOC. SCALA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC SCANNAGATTI,LOC. SCANNAGATTI,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC SCORDOVILLO,LOC. SCORDOVILLO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC SEMINARIO,LOC. SEMINARIO,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC SPARTA,LOC. SPARTA',1,33,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC TERRAVECCHIA,LOC. TERRAVECCHIA,1,57,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC TRE TERZI,LOC. TRE TERZI,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC TRIGNA,LOC. TRIGNA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC UMBRIA,LOC. UMBRIA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC VACCARIZZO,LOC. VACCARIZZO,1,55,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC VARRA,LOC. VARRA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC VIOLA,LOC. VIOLA,1,57,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC VRUCA,LOC. VRUCA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOCALITA CAPANNONE VOTTA,LOCALITA' CAPANNONE VOTTA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOCALITA SAN NICOLA FIALA,LOCALITA' SAN NICOLA FIALA',2,56,LOCALITA SAN NICOLA FIALA,LOCALITA' SAN NICOLA FIALA',1245855,0,matched,normalized_exact,high,
OSPEDALE CIVILE,OSPEDALE CIVILE,1,78,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
